machine_id,sequence_id,wrow,wcol,scan_position,tag,rlu,rlu.rq,timestamp,filename,plate_number,types,sample_id,dilution,bleed,treatment,virus,experiment_id,neutralisation,exclude
1234567,0,H, 2,NA,NA, 5818000,ValidSlopeSaturation,NA,NA, 1,x,Mouse 1, 5120,terminal,PBS,A/swine/Guangxi/1/2013 (H1N1),EX001,  -7.38335681,FALSE
1234567,0,H, 3,NA,NA, 5719000,ValidSlopeSaturation,NA,NA, 1,x,Mouse 1, 5120,terminal,PBS,A/swine/Guangxi/1/2013 (H1N1),EX001,  -5.55597600,FALSE
1234567,0,H, 4,NA,NA, 6123000,ValidSlopeSaturation,NA,NA, 1,x,Mouse 2, 5120,terminal,PBS,A/swine/Guangxi/1/2013 (H1N1),EX001, -13.01316637,FALSE
1234567,0,H, 5,NA,NA, 5672000,ValidSlopeSaturation,NA,NA, 1,x,Mouse 2, 5120,terminal,PBS,A/swine/Guangxi/1/2013 (H1N1),EX001,  -4.68843157,FALSE
1234567,0,H, 6,NA,NA, 6630000,ValidSlopeSaturation,NA,NA, 1,x,Mouse 3, 5120,terminal,PBS,A/swine/Guangxi/1/2013 (H1N1),EX001, -22.37157112,FALSE
1234567,0,H, 7,NA,NA, 5577000,ValidSlopeSaturation,NA,NA, 1,x,Mouse 3, 5120,terminal,PBS,A/swine/Guangxi/1/2013 (H1N1),EX001,  -2.93488433,FALSE
1234567,0,H, 8,NA,NA,NA,ValidSlopeSaturation,NA,NA, 1,,,NA,terminal,NA,A/swine/Guangxi/1/2013 (H1N1),EX001,NA,TRUE
1234567,0,H, 9,NA,NA,NA,ValidSlopeSaturation,NA,NA, 1,,,NA,terminal,NA,A/swine/Guangxi/1/2013 (H1N1),EX001,NA,TRUE
1234567,0,H,10,NA,NA,NA,ValidSlopeSaturation,NA,NA, 1,,,NA,terminal,NA,A/swine/Guangxi/1/2013 (H1N1),EX001,NA,TRUE
1234567,0,H,11,NA,NA,NA,ValidSlopeSaturation,NA,NA, 1,,,NA,terminal,NA,A/swine/Guangxi/1/2013 (H1N1),EX001,NA,TRUE
1234567,0,H,12,NA,NA, 1954000,ValidSlopeSaturation,NA,NA, 1,m,mAb (4F8),64000,terminal,mAb (4F8),A/swine/Guangxi/1/2013 (H1N1),EX001,  63.93986994,FALSE
1234567,0,A, 1,NA,NA,  519200,ValidSlopeSaturation,NA,NA, 2,v,,NA,terminal,NA,A/swine/Guangxi/1/2013 (H1N1),EX001,   7.23782972,FALSE
1234567,0,A, 2,NA,NA,  499000,ValidSlopeSaturation,NA,NA, 2,x,MI/15 Mouse 45,   40,terminal,MI/15,A/swine/Guangxi/1/2013 (H1N1),EX001,  10.84780899,FALSE
1234567,0,A, 3,NA,NA,  287400,ValidSlopeSaturation,NA,NA, 2,x,MI/15 Mouse 45,   40,terminal,MI/15,A/swine/Guangxi/1/2013 (H1N1),EX001,  48.66323540,FALSE
1234567,0,A, 4,NA,NA,  506500,ValidSlopeSaturation,NA,NA, 2,x,MI/15 Mouse 46,   40,terminal,MI/15,A/swine/Guangxi/1/2013 (H1N1),EX001,   9.50747016,FALSE
1234567,0,A, 5,NA,NA,  265300,ValidSlopeSaturation,NA,NA, 2,x,MI/15  Mouse 46,   40,terminal,MI/15,A/swine/Guangxi/1/2013 (H1N1),EX001,  52.61276717,FALSE
1234567,0,A, 6,NA,NA,  263200,ValidSlopeSaturation,NA,NA, 2,x,MI/15  Mouse 47,   40,terminal,MI/15,A/swine/Guangxi/1/2013 (H1N1),EX001,  52.98806205,FALSE
1234567,0,A, 7,NA,NA,  463100,ValidSlopeSaturation,NA,NA, 2,x,MI/15  Mouse 47,   40,terminal,MI/15,A/swine/Guangxi/1/2013 (H1N1),EX001,  17.26356423,FALSE
1234567,0,A, 8,NA,NA,  442100,ValidSlopeSaturation,NA,NA, 2,x,MI/15  Mouse 48,   40,terminal,MI/15,A/swine/Guangxi/1/2013 (H1N1),EX001,  21.01651297,FALSE
1234567,0,A, 9,NA,NA,  395600,ValidSlopeSaturation,NA,NA, 2,x,MI/15  Mouse 48,   40,terminal,MI/15,A/swine/Guangxi/1/2013 (H1N1),EX001,  29.32661377,FALSE
1234567,0,A,10,NA,NA,NA,ValidSlopeSaturation,NA,NA, 2,,,NA,terminal,NA,A/swine/Guangxi/1/2013 (H1N1),EX001,NA,TRUE
1234567,0,A,11,NA,NA,NA,ValidSlopeSaturation,NA,NA, 2,,,NA,terminal,NA,A/swine/Guangxi/1/2013 (H1N1),EX001,NA,TRUE
1234567,0,A,12,NA,NA,     120,ValidSlopeSaturation,NA,NA, 2,m,mAb (4F8),  500,terminal,mAb (4F8),A/swine/Guangxi/1/2013 (H1N1),EX001, 100.00357424,FALSE
1234567,0,B, 1,NA,NA,  497300,ValidSlopeSaturation,NA,NA, 2,v,,NA,terminal,NA,A/swine/Guangxi/1/2013 (H1N1),EX001,  11.15161913,FALSE
1234567,0,B, 2,NA,NA,  608100,ValidSlopeSaturation,NA,NA, 2,x,MI/15 Mouse 45,   80,terminal,MI/15,A/swine/Guangxi/1/2013 (H1N1),EX001,  -8.64965330,FALSE
1234567,0,B, 3,NA,NA,  630400,ValidSlopeSaturation,NA,NA, 2,x,MI/15 Mouse 45,   80,terminal,MI/15,A/swine/Guangxi/1/2013 (H1N1),EX001, -12.63492744,FALSE
1234567,0,B, 4,NA,NA,  678000,ValidSlopeSaturation,NA,NA, 2,x,MI/15 Mouse 46,   80,terminal,MI/15,A/swine/Guangxi/1/2013 (H1N1),EX001, -21.14161127,FALSE
1234567,0,B, 5,NA,NA,  789700,ValidSlopeSaturation,NA,NA, 2,x,MI/15  Mouse 46,   80,terminal,MI/15,A/swine/Guangxi/1/2013 (H1N1),EX001, -41.10372435,FALSE
1234567,0,B, 6,NA,NA,  497900,ValidSlopeSaturation,NA,NA, 2,x,MI/15  Mouse 47,   80,terminal,MI/15,A/swine/Guangxi/1/2013 (H1N1),EX001,  11.04439202,FALSE
